,non_circ,circ
0,89.0,563.0
1,96.0,752.0
2,102.0,86.0
3,107.0,257.0
4,107.0,196.0
5,108.0,404.0
6,103.0,422.0
7,93.0,855.0
8,107.0,1378.0
9,100.0,213.0
10,107.0,2026.0
11,103.0,497.0
12,104.0,695.0
13,103.0,866.0
14,105.0,1370.0
15,108.0,190.0
16,106.0,1681.0
17,107.0,210.0
18,103.0,481.0
19,102.0,482.0
20,109.0,588.0
21,101.0,1138.0
22,107.0,913.0
23,99.0,2255.0
24,102.0,112.0
25,159.0,186.0
26,104.0,479.0
27,109.0,784.0
28,100.0,197.0
29,104.0,1308.0
30,102.0,506.0
31,107.0,663.0
32,103.0,600.0
33,105.0,1395.0
34,103.0,396.0
35,108.0,319.0
36,106.0,734.0
37,66.0,851.0
38,107.0,737.0
39,107.0,296.0
40,103.0,730.0
41,105.0,513.0
42,108.0,540.0
43,106.0,437.0
44,106.0,325.0
45,100.0,531.0
46,103.0,1143.0
47,107.0,183.0
48,107.0,398.0
49,103.0,795.0
50,107.0,1296.0
51,105.0,579.0
52,107.0,390.0
53,103.0,232.0
54,102.0,1075.0
55,106.0,225.0
56,102.0,616.0
57,107.0,330.0
58,107.0,404.0
59,112.0,1079.0
60,107.0,207.0
61,111.0,591.0
62,107.0,739.0
63,107.0,169.0
64,107.0,707.0
65,97.0,837.0
66,108.0,398.0
67,106.0,761.0
68,110.0,423.0
69,109.0,1422.0
70,105.0,1268.0
71,107.0,177.0
72,104.0,291.0
73,97.0,531.0
74,108.0,674.0
75,104.0,817.0
76,102.0,1048.0
77,103.0,188.0
78,103.0,798.0
79,104.0,1479.0
80,59.0,2908.0
81,107.0,1334.0
82,104.0,1329.0
83,104.0,474.0
84,108.0,403.0
85,107.0,1227.0
86,107.0,219.0
87,98.0,523.0
88,107.0,363.0
89,102.0,315.0
90,91.0,244.0
91,106.0,663.0
92,103.0,630.0
93,107.0,1094.0
94,103.0,1132.0
95,107.0,423.0
96,104.0,523.0
97,107.0,670.0
98,107.0,490.0
99,107.0,607.0
100,119.0,211.0
101,117.0,1364.0
102,107.0,225.0
103,103.0,685.0
104,102.0,1413.0
105,100.0,1420.0
106,103.0,372.0
107,108.0,267.0
108,117.0,208.0
109,107.0,262.0
110,117.0,357.0
111,102.0,608.0
112,107.0,1650.0
113,104.0,432.0
114,107.0,469.0
115,105.0,84.0
116,117.0,337.0
117,105.0,213.0
118,105.0,1596.0
119,96.0,363.0
120,102.0,1045.0
121,106.0,311.0
122,103.0,650.0
123,105.0,640.0
124,107.0,243.0
125,103.0,7362.0
126,107.0,493.0
127,104.0,809.0
128,104.0,1475.0
129,109.0,3798.0
130,108.0,780.0
131,104.0,717.0
132,107.0,719.0
133,99.0,909.0
134,107.0,671.0
135,103.0,341.0
136,94.0,1382.0
137,100.0,1458.0
138,107.0,680.0
139,107.0,466.0
140,100.0,578.0
