,precision,recall,f1-score,support
BIRC6,0.5128205128205128,0.1111111111111111,0.182648401826484,360.0
MACF1,0.6521739130434783,0.375,0.4761904761904762,360.0
MALAT1,0.9257142857142857,0.45,0.6056074766355141,360.0
RYR2,0.3267605633802817,0.6444444444444445,0.43364485981308415,360.0
SNHG14,0.32116788321167883,0.8555555555555555,0.4670204700530705,360.0
TTN,0.8417721518987342,0.36944444444444446,0.5135135135135135,360.0
USP34,0.3860103626943005,0.41388888888888886,0.3994638069705094,360.0
intergenic,0.38738738738738737,0.2388888888888889,0.29553264604810997,360.0
non_circular,0.9854227405247813,0.9441340782122905,0.9643366619115549,358.0
accuracy,0.48888202594193947,0.48888202594193947,0.48888202594193947,0.48888202594193947
macro avg,0.5932477556306045,0.4891630457272915,0.4819953681069241,3238.0
weighted avg,0.5930055227801448,0.48888202594193947,0.48169744266294345,3238.0
